Genes,Feature1,Feature2,Feature3,Feature4
'ALK',-93.869,1.4094,1.0064,0.55781
'ALK',-93.869,1.4094,1.0064,0.55781
'ALK',-93.869,1.4094,1.0064,0.55781
'ALK',-93.869,1.4094,1.0064,0.55781
'ALK',-93.869,1.4094,1.0064,0.55781
'ALK',-93.869,1.4094,1.0064,0.55781
'ALK',-93.869,1.4094,1.0064,0.55781
'ALK',-93.869,1.4094,1.0064,0.55781
'ALK',-93.869,1.4094,1.0064,0.55781
'ALK',-93.869,1.4094,1.0064,0.55781
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'EGFR',39.611,0.60579,0.21007,0.15954
'HGF',-77.943,0.16294,0.16647,-0.98436
'APC',29.823,-0.83801,-0.83947,-1.6205
'APC',29.823,-0.83801,-0.83947,-1.6205
'APC',29.823,-0.83801,-0.83947,-1.6205
'APC',29.823,-0.83801,-0.83947,-1.6205
'APC',29.823,-0.83801,-0.83947,-1.6205
'APC',29.823,-0.83801,-0.83947,-1.6205
'AKT1',77.676,0.056193,0.072559,-0.24404
'AR',-79.796,-0.028381,-0.12437,0.044082
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP9',21.511,0.68194,0.50982,-1.2129
'CASP9',21.511,0.68194,0.50982,-1.2129
'CASP9',21.511,0.68194,0.50982,-1.2129
'BAX',52.291,0.86985,0.52212,2.4027
'CASP9',21.511,0.68194,0.50982,-1.2129
'CASP9',21.511,0.68194,0.50982,-1.2129
'CASP9',21.511,0.68194,0.50982,-1.2129
'CASP9',21.511,0.68194,0.50982,-1.2129
'CASP9',21.511,0.68194,0.50982,-1.2129
'CASP9',21.511,0.68194,0.50982,-1.2129
'CASP9',21.511,0.68194,0.50982,-1.2129
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'AKT1',77.676,0.056193,0.072559,-0.24404
'NLRP2',0.44587,1.0369,0.8416,2.8412
'ATM',30.666,-3.3485,-3.2424,1.8297
'PARP1',84.699,2.8086,2.3618,0.1593
'PRKDC',85.692,1.0487,0.64264,-0.38057
'RAD50',41.933,-0.71359,-0.68704,-1.6519
'MRE11A',26.098,-1.9984,-2.2435,2.5621
'ATRX',46.47,-0.13365,-0.25615,0.19576
'ATRX',46.47,-0.13365,-0.25615,0.19576
'E2F1',46.865,2.8096,2.0096,0.59559
'E2F1',46.865,2.8096,2.0096,0.59559
'CDC25C',8.2314,-0.46635,-0.59002,-1.4751
'CHEK2',27.008,-0.50089,-0.26813,-0.21843
'E2F1',46.865,2.8096,2.0096,0.59559
'E2F1',46.865,2.8096,2.0096,0.59559
'E2F1',46.865,2.8096,2.0096,0.59559
'E2F1',46.865,2.8096,2.0096,0.59559
'E2F1',46.865,2.8096,2.0096,0.59559
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'CDK2',58.777,0.74855,0.56883,0.071526
'CDK2',58.777,0.74855,0.56883,0.071526
'CDK2',58.777,0.74855,0.56883,0.071526
'CDK2',58.777,0.74855,0.56883,0.071526
