"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 18, 2018","2,479.98","2,467.55","2,486.73","2,467.55","647.28M","1.07%"
"Apr 17, 2018","2,453.77","2,459.39","2,465.63","2,449.08","394.70M","-0.15%"
"Apr 16, 2018","2,457.49","2,466.04","2,466.16","2,449.97","347.17M","0.10%"
"Apr 13, 2018","2,455.07","2,449.42","2,457.85","2,442.35","395.89M","0.51%"
"Apr 12, 2018","2,442.71","2,450.95","2,454.95","2,441.58","441.57M","-0.06%"
"Apr 11, 2018","2,444.22","2,456.53","2,458.99","2,441.20","355.19M","-0.27%"
"Apr 10, 2018","2,450.74","2,439.94","2,454.36","2,419.55","356.39M","0.27%"
"Apr 09, 2018","2,444.08","2,424.15","2,446.28","2,424.15","334.42M","0.60%"
"Apr 06, 2018","2,429.58","2,420.88","2,433.97","2,417.24","454.31M","-0.33%"
"Apr 05, 2018","2,437.52","2,426.92","2,446.78","2,420.92","591.04M","1.22%"
"Apr 04, 2018","2,408.06","2,447.97","2,447.97","2,405.91","551.70M","-1.41%"
"Apr 03, 2018","2,442.43","2,422.26","2,442.43","2,416.44","497.14M","-0.07%"
"Apr 02, 2018","2,444.16","2,454.72","2,467.52","2,440.89","390.32M","-0.07%"
"Mar 30, 2018","2,445.85","2,454.10","2,458.24","2,445.72","395.33M","0.39%"
"Mar 29, 2018","2,436.37","2,421.70","2,439.47","2,413.71","333.36M","0.71%"
"Mar 28, 2018","2,419.29","2,425.94","2,430.77","2,409.47","501.31M","-1.34%"
"Mar 27, 2018","2,452.06","2,455.00","2,456.55","2,444.92","332.13M","0.61%"
"Mar 26, 2018","2,437.08","2,414.68","2,437.08","2,399.44","306.90M","0.84%"
"Mar 23, 2018","2,416.76","2,446.73","2,450.40","2,412.62","457.95M","-3.18%"
"Mar 22, 2018","2,496.02","2,494.84","2,508.71","2,485.34","482.14M","0.44%"
"Mar 21, 2018","2,484.97","2,488.22","2,492.88","2,483.78","399.07M","-0.02%"
"Mar 20, 2018","2,485.52","2,456.80","2,485.52","2,456.80","291.50M","0.42%"
"Mar 19, 2018","2,475.03","2,491.99","2,493.56","2,470.91","477.22M","-0.76%"
"Mar 16, 2018","2,493.97","2,495.11","2,497.80","2,476.88","377.77M","0.06%"
"Mar 15, 2018","2,492.38","2,486.00","2,496.51","2,471.04","344.01M","0.25%"
"Mar 14, 2018","2,486.08","2,477.43","2,486.98","2,474.77","360.86M","-0.34%"
"Mar 13, 2018","2,494.49","2,483.05","2,494.49","2,478.76","350.20M","0.42%"
"Mar 12, 2018","2,484.12","2,485.64","2,489.46","2,474.91","391.30M","1.00%"
"Mar 09, 2018","2,459.45","2,443.43","2,476.43","2,436.03","437.26M","1.08%"
"Mar 08, 2018","2,433.08","2,420.67","2,433.08","2,407.59","394.85M","1.30%"
"Mar 07, 2018","2,401.82","2,413.39","2,429.43","2,395.24","412.97M","-0.40%"
"Mar 06, 2018","2,411.41","2,400.67","2,413.01","2,392.87","400.11M","1.53%"
"Mar 05, 2018","2,375.06","2,405.92","2,407.98","2,374.80","312.25M","-1.13%"
"Mar 02, 2018","2,402.16","2,406.57","2,410.34","2,387.25","320.40M","-1.04%"
"Feb 28, 2018","2,427.36","2,447.11","2,460.12","2,426.21","367.56M","-1.17%"
"Feb 27, 2018","2,456.14","2,474.08","2,480.79","2,456.14","271.23M","-0.06%"
"Feb 26, 2018","2,457.65","2,465.35","2,466.08","2,447.86","321.26M","0.25%"
"Feb 23, 2018","2,451.52","2,427.13","2,451.52","2,427.13","300.58M","1.54%"
"Feb 22, 2018","2,414.28","2,417.18","2,422.62","2,405.23","349.49M","-0.63%"
"Feb 21, 2018","2,429.65","2,417.73","2,432.45","2,404.02","432.28M","0.60%"
"Feb 20, 2018","2,415.12","2,433.35","2,438.48","2,411.23","421.48M","-1.13%"
"Feb 19, 2018","2,442.82","2,452.52","2,455.12","2,428.15","322.14M","0.87%"
"Feb 14, 2018","2,421.83","2,412.47","2,426.63","2,408.02","305.74M","1.11%"
"Feb 13, 2018","2,395.19","2,402.89","2,421.80","2,388.54","423.42M","0.41%"
"Feb 12, 2018","2,385.38","2,380.49","2,397.90","2,367.31","352.29M","0.91%"
"Feb 09, 2018","2,363.77","2,346.73","2,372.90","2,346.73","489.11M","-1.82%"
"Feb 08, 2018","2,407.62","2,400.17","2,423.88","2,393.46","362.42M","0.46%"
"Feb 07, 2018","2,396.56","2,483.72","2,484.18","2,396.56","460.08M","-2.31%"
"Feb 06, 2018","2,453.31","2,437.02","2,460.28","2,409.38","582.84M","-1.54%"
"Feb 05, 2018","2,491.75","2,487.34","2,503.99","2,476.24","442.35M","-1.33%"
"Feb 02, 2018","2,525.39","2,565.99","2,565.99","2,519.60","481.82M","-1.68%"
"Feb 01, 2018","2,568.54","2,578.91","2,583.74","2,564.59","595.15M","0.08%"
"Jan 31, 2018","2,566.46","2,557.37","2,597.14","2,553.01","403.05M","-0.05%"
"Jan 30, 2018","2,567.74","2,590.41","2,599.17","2,567.07","397.04M","-1.17%"
"Jan 29, 2018","2,598.19","2,588.87","2,607.10","2,587.55","437.47M","0.91%"
"Jan 26, 2018","2,574.76","2,560.69","2,574.76","2,553.53","400.65M","0.49%"
"Jan 25, 2018","2,562.23","2,536.96","2,564.43","2,536.73","514.60M","0.95%"
"Jan 24, 2018","2,538.00","2,533.86","2,547.22","2,531.31","371.09M","0.06%"
"Jan 23, 2018","2,536.60","2,510.35","2,536.60","2,507.96","370.01M","1.38%"
"Jan 22, 2018","2,502.11","2,516.90","2,517.12","2,488.44","342.99M","-0.72%"
"Jan 19, 2018","2,520.26","2,519.67","2,524.33","2,513.09","351.84M","0.18%"
"Jan 18, 2018","2,515.81","2,527.67","2,532.08","2,512.69","333.11M","0.02%"
